expressionId,practiceExampleNumber,practiceQuestion,practiceQuestionTranslation,sentenceText,sentenceTranslation,acceptedAnswerCount,acceptedAnswers,reviewReason,reviewNotes
6,1,How are things between them now?,걔네 사이 요즘 어때?,They worked out their differences.,걔네는 의견 차이를 잘 풀었어.,6,"걔네는 의견 차이를 잘 풀었어
의견 차이를 걔네는 잘 풀었어
걔네는 잘 풀었어 의견 차이를
의견 차이를 잘 풀었어 걔네는
걔네는 의견 차이를 풀었어 잘
의견 차이를 걔네는 풀었어 잘",잘과 풀었어 사이를 긴 목적어로 벌리면 말 흐름이 어색해 제외했다.,
6,2,When should we clean the bathroom?,화장실 청소는 언제 할까?,Let's work out a schedule that works for both of us.,둘 다 괜찮은 일정으로 조율해 보자.,2,"둘 다 괜찮은 일정으로 조율해 보자
조율해 보자 둘 다 괜찮은 일정으로",둘 다 괜찮은 일정으로라는 수식 관계와 조율해 보자의 보조 용언을 유지했다.,
7,1,I've got an early flight tomorrow.,나 내일 아침 일찍 비행기 타야 해.,Don't stay up too late.,너무 늦게까지 깨어 있지 마.,2,"너무 늦게까지 깨어 있지 마
깨어 있지 마 너무 늦게까지",너무 늦게까지와 깨어 있지 마의 부정 명령을 각각 보존했다.,
7,2,Why was her light on so late?,걔 방 불이 왜 그렇게 늦게까지 켜져 있었어?,She stayed up to finish the assignment.,걔는 과제 끝내느라 안 자고 있었어.,4,"걔는 과제 끝내느라 안 자고 있었어
과제 끝내느라 걔는 안 자고 있었어
걔는 안 자고 있었어 과제 끝내느라
과제 끝내느라 안 자고 있었어 걔는",과제 끝내느라의 이유와 안 자고 있었다는 부정 의미를 유지했다.,
8,1,Want to grab lunch here again?,또 여기서 점심 먹을래?,I'm sick of eating the same lunch every day.,매일 똑같은 점심 먹는 거 질렸어.,4,"매일 똑같은 점심 먹는 거 질렸어
똑같은 점심 매일 먹는 거 질렸어
질렸어 매일 똑같은 점심 먹는 거
질렸어 똑같은 점심 매일 먹는 거",매일이 먹는 행동을 꾸미도록 유지했다. 질린 시점만 매일로 바꾸는 어순은 제외했다.,
8,2,Is she still dating him?,걔 아직도 걔랑 사귀어?,She's sick of his excuses.,걔는 그의 변명에 신물이 났어.,4,"걔는 그의 변명에 신물이 났어
그의 변명에 걔는 신물이 났어
걔는 신물이 났어 그의 변명에
그의 변명에 신물이 났어 걔는",그의 변명이라는 대상과 신물이 났어의 관용 구성을 보존했다.,
9,1,Can we meet up sometime next week?,다음 주 중에 만날까?,Monday works for me.,난 월요일 괜찮아.,4,"난 월요일 괜찮아
월요일 난 괜찮아
난 괜찮아 월요일
월요일 괜찮아 난",주제와 날짜의 교환뿐 아니라 일상 대화에서 날짜 또는 화자를 끝에 덧붙이는 자연스러운 어순을 포함했다. 날짜와 가능 여부는 같다.,
9,2,Should we plan the trip for this weekend?,이번 주말로 여행 잡을까?,Does this weekend work for everyone?,이번 주말 다들 괜찮아?,4,"이번 주말 다들 괜찮아
다들 이번 주말 괜찮아
이번 주말 괜찮아 다들
다들 괜찮아 이번 주말",이번 주말이라는 시점과 다들이라는 대상을 유지하는 질문이다.,
10,1,Have you been to that new place?,그 새로 생긴 데 가봤어?,I can't wait to try that new restaurant.,그 새로 생긴 식당 빨리 가보고 싶어.,4,"그 새로 생긴 식당 빨리 가보고 싶어
빨리 그 새로 생긴 식당 가보고 싶어
그 새로 생긴 식당 가보고 싶어 빨리
빨리 가보고 싶어 그 새로 생긴 식당",그 새로 생긴 식당이라는 명사구를 보존하고 빨리의 위치를 검토했다.,
10,2,How does she feel about the new job?,걔 새 직장에 대해 어떻게 생각해?,She can't wait to start her new job.,걔는 새 직장 시작하는 걸 엄청 기대하고 있어.,6,"걔는 새 직장 시작하는 걸 엄청 기대하고 있어
새 직장 시작하는 걸 걔는 엄청 기대하고 있어
걔는 엄청 기대하고 있어 새 직장 시작하는 걸
새 직장 시작하는 걸 엄청 기대하고 있어 걔는
걔는 새 직장 시작하는 걸 기대하고 있어 엄청
새 직장 시작하는 걸 걔는 기대하고 있어 엄청",새 직장 시작하는 걸이라는 관형 구성을 유지하고 기대하는 주체와 정도를 보존했다.,
11,1,I'm bored tonight.,오늘 밤 심심하다.,Are you up for a movie later?,이따 영화 볼래?,4,"이따 영화 볼래
영화 이따 볼래
이따 볼래 영화
영화 볼래 이따",영화를 이따 보자는 제안이다. 시간과 대상의 앞자리 교환 및 어느 한 성분을 끝에 덧붙이는 자연스러운 구어 어순을 포함했다.,
11,2,What do you want to eat?,뭐 먹고 싶어?,I'm down for whatever you want.,네가 원하는 거 뭐든 좋아.,3,"네가 원하는 거 뭐든 좋아
네가 원하는 거 좋아 뭐든
뭐든 좋아 네가 원하는 거",네가 원하는 거라는 명사구와 무엇이든 괜찮다는 의미를 유지했다.,
12,1,How did you spend your Sunday?,일요일 어떻게 보냈어?,I spent Sunday rotting in bed.,일요일을 침대에서 뒹굴며 보냈어.,5,"일요일을 침대에서 뒹굴며 보냈어
침대에서 뒹굴며 일요일을 보냈어
침대에서 일요일을 뒹굴며 보냈어
일요일을 보냈어 침대에서 뒹굴며
침대에서 뒹굴며 보냈어 일요일을",침대에서 뒹굴며라는 방식과 일요일을 보냈다는 목적어 관계를 유지했다.,
12,2,That week was so rough.,그 주는 진짜 힘들었어.,"After that week, I deserve to rot in bed.",그런 한 주를 보냈으니 침대에서 썩을 자격이 있지.,2,"그런 한 주를 보냈으니 침대에서 썩을 자격이 있지
침대에서 썩을 자격이 있지 그런 한 주를 보냈으니",그런 한 주를 보냈다는 이유를 설명 뒤에 두어도 같은 의미이다.,
13,1,Who called you just now?,방금 누구한테 전화 왔어?,What was the call about?,그 전화 무슨 용건이었어?,2,"그 전화 무슨 용건이었어
무슨 용건이었어 그 전화",그 전화라는 주제를 의문 명사구 뒤에 자연스럽게 덧붙였다.,
13,2,I got an email from the office.,사무실에서 메일이 왔어.,Is this about the schedule change?,이거 일정 변경 건인가요?,2,"이거 일정 변경 건인가요
일정 변경 건인가요 이거",일정 변경 건인지 묻는 질문의 구조와 대상을 보존했다.,
14,1,The app keeps crashing.,앱이 자꾸 꺼져.,Can you look into the error?,그 오류 좀 살펴봐 줄래?,4,"그 오류 좀 살펴봐 줄래
좀 그 오류 살펴봐 줄래
그 오류 살펴봐 줄래 좀
좀 살펴봐 줄래 그 오류",그 오류라는 대상과 살펴봐 줄래의 부탁을 유지했다.,
14,2,Are you moving soon?,곧 이사 가?,We're looking into new apartment options.,우리 새 아파트 알아보는 중이야.,4,"우리 새 아파트 알아보는 중이야
새 아파트 우리 알아보는 중이야
우리 알아보는 중이야 새 아파트
새 아파트 알아보는 중이야 우리",새 아파트와 알아보는 중이야를 각각 유지하고 주체의 위치를 바꾸었다.,
15,1,There are no taxis around here.,이 근처에 택시가 없네.,Would you like me to call you a taxi?,택시 불러드릴까요?,2,"택시 불러드릴까요
불러드릴까요 택시",택시라는 목적어를 공손한 제안 뒤에 덧붙이는 구어 어순이다.,
15,2,I need that document for the meeting.,회의 때문에 그 자료가 필요한데요.,Would you like me to send you the file?,파일 보내드릴까요?,2,"파일 보내드릴까요
보내드릴까요 파일",파일이라는 목적어를 공손한 제안 뒤에 덧붙이는 구어 어순이다.,
16,1,Can you come to the party tonight?,오늘 밤 파티 올 수 있어?,I'm afraid I can't make it.,미안하지만 못 갈 것 같아.,2,"미안하지만 못 갈 것 같아
못 갈 것 같아 미안하지만",못 갈 것 같아의 부정과 추측은 고정한다. 사과를 뜻하는 미안하지만을 뒤에 덧붙이는 일상적인 거절도 포함했다.,
16,2,"Excuse me, is this seat free?",실례지만 여기 자리 있나요?,I'm afraid that seat is taken.,죄송하지만 그 자리는 주인이 있어요.,5,"죄송하지만 그 자리는 주인이 있어요
그 자리는 죄송하지만 주인이 있어요
그 자리는 주인이 있어요 죄송하지만
죄송하지만 주인이 있어요 그 자리는
죄송하지만 그 자리는 있어요 주인이",사과 표현과 그 자리의 주인이 있다는 설명을 유지했다.,
17,1,Did you look at the numbers I sent?,내가 보낸 숫자 봤어?,Are we on the same page about the budget?,예산에 대해서 우리 생각이 같은 거지?,4,"예산에 대해서 우리 생각이 같은 거지
우리 생각이 예산에 대해서 같은 거지
예산에 대해서 같은 거지 우리 생각이
우리 생각이 같은 거지 예산에 대해서",예산에 대해서라는 범위와 우리 생각이 같다는 의미를 보존했다.,
17,2,How's the team doing lately?,요즘 팀 분위기 어때?,The whole team is finally on the same page.,드디어 팀 전체가 같은 방향을 보고 있어.,12,"드디어 팀 전체가 같은 방향을 보고 있어
팀 전체가 드디어 같은 방향을 보고 있어
팀 전체가 같은 방향을 드디어 보고 있어
드디어 같은 방향을 팀 전체가 보고 있어
같은 방향을 팀 전체가 드디어 보고 있어
같은 방향을 드디어 팀 전체가 보고 있어
팀 전체가 같은 방향을 보고 있어 드디어
같은 방향을 팀 전체가 보고 있어 드디어
드디어 팀 전체가 보고 있어 같은 방향을
팀 전체가 드디어 보고 있어 같은 방향을
드디어 같은 방향을 보고 있어 팀 전체가
같은 방향을 드디어 보고 있어 팀 전체가","팀 전체가와 같은 방향을은 각각 명사구로 유지한다. 주어·목적어·드디어의 위치를 검토했으며, 의미가 유지되고 한 성분을 자연스럽게 덧붙이는 구어 어순도 포함했다.",
18,1,The music is really loud.,음악 소리가 너무 커.,Do you mind turning down the music?,음악 소리 좀 줄여줄 수 있어?,4,"음악 소리 좀 줄여줄 수 있어
좀 음악 소리 줄여줄 수 있어
음악 소리 줄여줄 수 있어 좀
좀 줄여줄 수 있어 음악 소리",음악 소리라는 대상과 줄여줄 수 있어의 가능·부탁 구성을 유지했다.,
18,2,I need a few more minutes to finish up.,마무리하는 데 몇 분만 더 필요해요.,Do you mind waiting a few minutes?,몇 분만 기다려 주실 수 있나요?,2,"몇 분만 기다려 주실 수 있나요
기다려 주실 수 있나요 몇 분만",몇 분만과 기다려 주실 수 있나요를 각각 보존한다. 부탁을 한 뒤 기다리는 시간을 덧붙이는 자연스러운 구어 어순도 포함했다.,
19,1,You seem to be struggling with those boxes.,그 박스들 옮기기 힘들어 보이네.,Need any help? — I'm good.,도움 필요해? — 난 괜찮아.,2,"도움 필요해 난 괜찮아
도움 필요해 괜찮아 난",질문과 응답의 역할 순서는 유지하고 응답 내부의 난만 자연스럽게 후치했다.,
19,2,How's your coffee?,커피 어때요?,Do you want a refill? — I'm good for now.,리필해 드릴까요? — 지금은 괜찮아요.,2,"리필해 드릴까요 지금은 괜찮아요
리필해 드릴까요 괜찮아요 지금은",리필 제안과 거절 응답의 순서를 유지하고 응답의 현재 시점만 후치했다.,
20,1,This is my first time in your store.,여기 처음 와봤어요.,Feel free to look around.,편하게 둘러보세요.,2,"편하게 둘러보세요
둘러보세요 편하게",편하게라는 방식이 둘러보라는 권유를 꾸미는 의미를 유지했다.,
20,2,I'm a little hungry.,나 좀 배고파.,Feel free to grab a snack from the kitchen.,부엌에서 간식 편하게 꺼내 먹어.,12,"부엌에서 간식 편하게 꺼내 먹어
부엌에서 편하게 간식 꺼내 먹어
간식 부엌에서 편하게 꺼내 먹어
간식 편하게 부엌에서 꺼내 먹어
편하게 부엌에서 간식 꺼내 먹어
편하게 간식 부엌에서 꺼내 먹어
부엌에서 간식 꺼내 먹어 편하게
간식 부엌에서 꺼내 먹어 편하게
부엌에서 편하게 꺼내 먹어 간식
편하게 부엌에서 꺼내 먹어 간식
간식 편하게 꺼내 먹어 부엌에서
편하게 간식 꺼내 먹어 부엌에서","부엌이라는 장소와 간식이라는 대상, 편하게라는 방식을 검토하고 꺼내 먹어는 유지했다.",
21,1,How did their date go?,걔네 데이트 어떻게 됐어?,They hit it off on their first date.,걔네 첫 데이트에서 완전 죽이 잘 맞았대.,10,"걔네 첫 데이트에서 완전 죽이 잘 맞았대
첫 데이트에서 걔네 완전 죽이 잘 맞았대
걔네 첫 데이트에서 죽이 완전 잘 맞았대
첫 데이트에서 걔네 죽이 완전 잘 맞았대
첫 데이트에서 완전 죽이 잘 맞았대 걔네
첫 데이트에서 죽이 완전 잘 맞았대 걔네
걔네 완전 죽이 잘 맞았대 첫 데이트에서
걔네 죽이 완전 잘 맞았대 첫 데이트에서
걔네 첫 데이트에서 죽이 잘 맞았대 완전
첫 데이트에서 걔네 죽이 잘 맞았대 완전",완전을 죽이 잘 맞았다는 서술 뒤에 단독 후치해도 강조 범위가 같다.,
21,2,How do you and your roommate get along?,룸메이트랑 잘 지내?,I didn't expect to hit it off with my roommate.,룸메이트랑 이렇게 잘 맞을 줄 몰랐어.,3,"룸메이트랑 이렇게 잘 맞을 줄 몰랐어
이렇게 룸메이트랑 잘 맞을 줄 몰랐어
이렇게 잘 맞을 줄 몰랐어 룸메이트랑",이렇게가 잘 맞음의 정도에서 몰랐음의 방식·정도로 이동할 여지가 있어 제외를 권한다.,
22,1,Want to go camping this weekend?,이번 주말에 캠핑 갈래?,Camping just isn't for me.,캠핑은 그냥 나랑 안 맞아.,11,"캠핑은 그냥 나랑 안 맞아
그냥 캠핑은 나랑 안 맞아
캠핑은 나랑 그냥 안 맞아
그냥 나랑 캠핑은 안 맞아
나랑 캠핑은 그냥 안 맞아
캠핑은 그냥 안 맞아 나랑
그냥 캠핑은 안 맞아 나랑
캠핑은 나랑 안 맞아 그냥
나랑 캠핑은 안 맞아 그냥
그냥 나랑 안 맞아 캠핑은
나랑 그냥 안 맞아 캠핑은",캠핑이 나와 맞지 않는다는 의미와 안 맞아의 결합을 유지한다. 주제·상대·그냥의 자연스러운 배치와 후치를 포함하되 안과 맞아 사이를 임의로 갈라 놓지 않는다.,
22,2,How was the yoga class?,요가 수업 어땠어?,"I tried yoga, but it wasn't for me.",요가 해봤는데 나랑은 안 맞더라.,3,"요가 해봤는데 나랑은 안 맞더라
요가 해봤는데 안 맞더라 나랑은
나랑은 안 맞더라 요가 해봤는데",요가를 해본 경험과 나와 맞지 않는다는 판단을 유지했다.,
23,1,Any plans for next month?,다음 달에 계획 있어?,I was thinking of taking a trip next month.,다음 달에 여행 갈까 생각 중이야.,3,"다음 달에 여행 갈까 생각 중이야
여행 다음 달에 갈까 생각 중이야
생각 중이야 다음 달에 여행 갈까",다음 달에를 생각 중이야 뒤로 보내면 여행 시점 대신 생각하는 시점으로 읽힐 수 있다. 생각 중이야 다음 달에 여행 갈까처럼 생각 내용을 통째로 후치할 수 있다.,
23,2,Are you learning any new languages?,새로운 언어 배우는 거 있어?,I was thinking of learning Spanish.,스페인어 배워볼까 생각 중이었어.,3,"스페인어 배워볼까 생각 중이었어
배워볼까 생각 중이었어 스페인어
생각 중이었어 스페인어 배워볼까",스페인어를 배울까 고려하던 내용과 과거 시제를 유지했다.,
24,1,What color shirt should I get?,무슨 색 셔츠 살까?,You can't go wrong with a white shirt.,흰 셔츠는 실패가 없어.,4,"흰 셔츠는 실패가 없어
실패가 흰 셔츠는 없어
흰 셔츠는 없어 실패가
실패가 없어 흰 셔츠는",흰 셔츠라는 주제와 실패가 없다는 의미를 유지했다.,
24,2,What should I get her for her birthday?,걔 생일 선물로 뭐 사줄까?,"For a gift, you can't go wrong with flowers.",선물로는 꽃이면 무난하지.,4,"선물로는 꽃이면 무난하지
꽃이면 선물로는 무난하지
선물로는 무난하지 꽃이면
꽃이면 무난하지 선물로는",꽃이면이라는 조건과 선물로 무난하다는 판단을 보존했다.,
25,1,Do your kids fight a lot?,너희 애들 많이 싸워?,My kids get along really well.,우리 애들은 사이가 진짜 좋아.,8,"우리 애들은 사이가 진짜 좋아
우리 애들은 진짜 사이가 좋아
사이가 우리 애들은 진짜 좋아
진짜 우리 애들은 사이가 좋아
사이가 진짜 좋아 우리 애들은
진짜 사이가 좋아 우리 애들은
우리 애들은 진짜 좋아 사이가
우리 애들은 사이가 좋아 진짜",우리 애들의 사이가 좋다는 내용과 진짜의 강조를 유지했다.,
25,2,How's living with your roommate?,룸메이트랑 사는 거 어때?,I don't get along with my roommate.,난 룸메이트랑 잘 안 맞아.,4,"난 룸메이트랑 잘 안 맞아
룸메이트랑 난 잘 안 맞아
난 잘 안 맞아 룸메이트랑
룸메이트랑 잘 안 맞아 난",잘 안 맞아를 유지한 채 화자와 상대를 재배치하거나 한 성분을 자연스럽게 뒤에 둔다. 잘의 위치를 무작정 옮기는 변형은 포함하지 않는다.,
26,1,Excited for anything coming up?,다가오는 것 중에 기대되는 거 있어?,I'm looking forward to the concert.,콘서트 너무 기대돼.,4,"콘서트 너무 기대돼
너무 콘서트 기대돼
콘서트 기대돼 너무
너무 기대돼 콘서트",콘서트에 대한 기대와 너무의 정도 의미를 유지했다.,
26,2,When is her vacation?,걔 휴가 언제야?,She's looking forward to her vacation.,걔 휴가를 엄청 기대하고 있어.,6,"걔 휴가를 엄청 기대하고 있어
휴가를 걔 엄청 기대하고 있어
걔 엄청 휴가를 기대하고 있어
걔 엄청 기대하고 있어 휴가를
휴가를 엄청 기대하고 있어 걔
걔 휴가를 기대하고 있어 엄청",휴가를 기대하는 주체와 정도를 유지하고 기대하고 있어는 분리하지 않았다.,
27,1,We're starting a new club this semester.,이번 학기에 새 동아리 만들 거야.,Are you interested in joining our club?,우리 동아리 들어올 생각 있어?,2,"우리 동아리 들어올 생각 있어
있어 우리 동아리 들어올 생각",우리 동아리 들어올 생각이라는 명사구를 유지한 구어 질문 어순이다.,
27,2,Do you like sports?,스포츠 좋아해?,I'm not really interested in sports.,난 스포츠에는 별로 관심 없어.,9,"난 스포츠에는 별로 관심 없어
스포츠에는 난 별로 관심 없어
난 별로 스포츠에는 관심 없어
난 스포츠에는 관심 별로 없어
스포츠에는 난 관심 별로 없어
난 별로 관심 없어 스포츠에는
난 관심 별로 없어 스포츠에는
스포츠에는 별로 관심 없어 난
스포츠에는 관심 별로 없어 난",별로 관심 없어와 관심 별로 없어가 모두 자연스럽다. 주제·관심 대상의 교환과 자연스러운 후치까지 포함하고 별로가 관심의 정도를 낮추는 의미를 보존한다.,
28,1,I made so many mistakes today.,오늘 실수를 너무 많이 했어.,Everyone has an off day sometimes.,누구나 가끔 안 풀리는 날이 있지.,9,"누구나 가끔 안 풀리는 날이 있지
누구나 안 풀리는 날이 가끔 있지
가끔 누구나 안 풀리는 날이 있지
가끔 안 풀리는 날이 누구나 있지
안 풀리는 날이 누구나 가끔 있지
가끔 안 풀리는 날이 있지 누구나
안 풀리는 날이 가끔 있지 누구나
누구나 안 풀리는 날이 있지 가끔
안 풀리는 날이 누구나 있지 가끔",누구에게나 일이 잘 안 풀리는 날이 가끔 있다는 위로의 의미를 유지한다. 가끔과 누구나를 옮기더라도 안 풀리는 날이라는 관형 구성을 깨지 않는다.,
28,2,Why did she miss those easy shots?,걔 왜 그런 쉬운 슛을 놓쳤대?,"She's usually great, but she had an off day.",걔 원래 잘하는데 그날따라 컨디션이 안 좋았어.,12,"걔 원래 잘하는데 그날따라 컨디션이 안 좋았어
원래 걔 잘하는데 그날따라 컨디션이 안 좋았어
걔 원래 잘하는데 컨디션이 그날따라 안 좋았어
원래 걔 잘하는데 컨디션이 그날따라 안 좋았어
걔 원래 잘하는데 그날따라 안 좋았어 컨디션이
원래 걔 잘하는데 그날따라 안 좋았어 컨디션이
걔 원래 잘하는데 컨디션이 안 좋았어 그날따라
원래 걔 잘하는데 컨디션이 안 좋았어 그날따라
그날따라 컨디션이 안 좋았어 걔 원래 잘하는데
그날따라 컨디션이 안 좋았어 원래 걔 잘하는데
컨디션이 그날따라 안 좋았어 걔 원래 잘하는데
컨디션이 그날따라 안 좋았어 원래 걔 잘하는데",평소 실력과 그날의 컨디션을 대조하는 뜻을 보존하고 안 좋았어는 유지했다.,
29,1,Did she ever tell you what's wrong?,걔가 뭐가 문제인지 말해줬어?,She finally opened up about her worries.,걔가 드디어 고민을 털어놨어.,12,"걔가 드디어 고민을 털어놨어
걔가 고민을 드디어 털어놨어
드디어 걔가 고민을 털어놨어
드디어 고민을 걔가 털어놨어
고민을 걔가 드디어 털어놨어
고민을 드디어 걔가 털어놨어
걔가 드디어 털어놨어 고민을
걔가 고민을 털어놨어 드디어
드디어 걔가 털어놨어 고민을
드디어 고민을 털어놨어 걔가
고민을 걔가 털어놨어 드디어
고민을 드디어 털어놨어 걔가",고민을 털어놓은 주체·대상과 드디어라는 시점을 보존했다.,
29,2,I don't know if I should tell anyone.,누구한테 말해야 할지 모르겠어.,You can open up to me anytime.,언제든 나한테 털어놔도 돼.,4,"언제든 나한테 털어놔도 돼
나한테 언제든 털어놔도 돼
언제든 털어놔도 돼 나한테
나한테 털어놔도 돼 언제든",언제든이라는 허용 시점과 나한테라는 상대를 유지했다.,
30,1,What did you do this morning?,오늘 아침에 뭐 했어?,I went out for a run this morning.,아침에 달리기하러 나갔다 왔어.,4,"아침에 달리기하러 나갔다 왔어
달리기하러 아침에 나갔다 왔어
아침에 나갔다 왔어 달리기하러
달리기하러 나갔다 왔어 아침에",아침에 달리기를 목적으로 외출했다 돌아왔다는 의미를 보존한다. 나갔다 왔어는 함께 유지하고 시점이나 목적을 자연스럽게 뒤에 둔 어순도 포함했다.,
30,2,Where's Sarah?,사라 어디 갔어?,She stepped out for some coffee.,걔 커피 사러 잠깐 나갔어.,10,"걔 커피 사러 잠깐 나갔어
걔 잠깐 커피 사러 나갔어
커피 사러 걔 잠깐 나갔어
커피 사러 잠깐 걔 나갔어
잠깐 커피 사러 걔 나갔어
커피 사러 잠깐 나갔어 걔
잠깐 커피 사러 나갔어 걔
걔 잠깐 나갔어 커피 사러
걔 커피 사러 나갔어 잠깐
커피 사러 걔 나갔어 잠깐",커피 사러라는 목적과 잠깐 외출했다는 의미를 유지했다.,
31,1,What's your first impression of him?,걔 첫인상 어때?,He gives off a friendly vibe.,걔는 친근한 분위기를 풍겨.,4,"걔는 친근한 분위기를 풍겨
친근한 분위기를 걔는 풍겨
걔는 풍겨 친근한 분위기를
친근한 분위기를 풍겨 걔는",친근한 분위기라는 목적어와 풍긴다는 의미를 보존했다.,
31,2,How was the old house at night?,그 오래된 집 밤에 어땠어?,The house gave off a creepy vibe at night.,그 집은 밤에 으스스한 느낌이 났어.,5,"그 집은 밤에 으스스한 느낌이 났어
밤에 그 집은 으스스한 느낌이 났어
그 집은 으스스한 느낌이 밤에 났어
밤에 으스스한 느낌이 났어 그 집은
그 집은 으스스한 느낌이 났어 밤에",느낌이 났다는 존재 구성을 과도하게 역전한 배열은 자연스럽지 않아 제외했다.,
32,1,How's the new house?,새집 어때?,There's something strange about this house.,이 집엔 뭔가 이상한 게 있어.,11,"이 집엔 뭔가 이상한 게 있어
이 집엔 이상한 게 뭔가 있어
뭔가 이 집엔 이상한 게 있어
뭔가 이상한 게 이 집엔 있어
이상한 게 이 집엔 뭔가 있어
이상한 게 뭔가 이 집엔 있어
뭔가 이상한 게 있어 이 집엔
이상한 게 뭔가 있어 이 집엔
이 집엔 뭔가 있어 이상한 게
이 집엔 이상한 게 있어 뭔가
이상한 게 이 집엔 있어 뭔가",이 집에 뭔가 이상한 것이 있다는 의미와 이상한 게라는 관형 구성을 유지했다.,
32,2,Why do you like small towns so much?,작은 동네를 왜 그렇게 좋아해?,There's something charming about small towns.,작은 동네에는 뭔가 매력이 있어.,11,"작은 동네에는 뭔가 매력이 있어
작은 동네에는 매력이 뭔가 있어
뭔가 작은 동네에는 매력이 있어
뭔가 매력이 작은 동네에는 있어
매력이 작은 동네에는 뭔가 있어
매력이 뭔가 작은 동네에는 있어
뭔가 매력이 있어 작은 동네에는
매력이 뭔가 있어 작은 동네에는
작은 동네에는 뭔가 있어 매력이
작은 동네에는 매력이 있어 뭔가
매력이 작은 동네에는 있어 뭔가",작은 동네의 매력이 있다는 설명에서 장소와 막연한 느낌의 뭔가를 검토했다.,
33,1,How's the food here?,여기 음식 어때?,I've never tasted anything like this.,이런 맛은 처음이야.,2,"이런 맛은 처음이야
처음이야 이런 맛은",이런 맛이라는 명사구를 첫 경험이라는 서술 뒤에 덧붙였다.,
